
# Curve 0 of 2, 500 points
# x y xlow xhigh type
 1 -71.8438  1  1  i
 1.1984 -71.8851  1.1984  1.1984  i
 1.39679 -71.9667  1.39679  1.39679  i
 1.59519 -72.0652  1.59519  1.59519  i
 1.79359 -72.1677  1.79359  1.79359  i
 1.99198 -72.2674  1.99198  1.99198  i
 2.19038 -72.3599  2.19038  2.19038  i
 2.38878 -72.442  2.38878  2.38878  i
 2.58717 -72.5105  2.58717  2.58717  i
 2.78557 -72.5618  2.78557  2.78557  i
 2.98397 -72.5921  2.98397  2.98397  i
 3.18236 -72.5972  3.18236  3.18236  i
 3.38076 -72.5731  3.38076  3.38076  i
 3.57916 -72.5157  3.57916  3.57916  i
 3.77756 -72.4214  3.77756  3.77756  i
 3.97595 -72.2871  3.97595  3.97595  i
 4.17435 -72.1103  4.17435  4.17435  i
 4.37275 -71.8893  4.37275  4.37275  i
 4.57114 -71.623  4.57114  4.57114  i
 4.76954 -71.3111  4.76954  4.76954  i
 4.96794 -70.954  4.96794  4.96794  i
 5.16633 -70.5527  5.16633  5.16633  i
 5.36473 -70.1088  5.36473  5.36473  i
 5.56313 -69.6244  5.56313  5.56313  i
 5.76152 -69.1022  5.76152  5.76152  i
 5.95992 -68.5448  5.95992  5.95992  i
 6.15832 -67.9555  6.15832  6.15832  i
 6.35671 -67.3373  6.35671  6.35671  i
 6.55511 -66.6935  6.55511  6.55511  i
 6.75351 -66.0272  6.75351  6.75351  i
 6.9519 -65.3417  6.9519  6.9519  i
 7.1503 -64.6396  7.1503  7.1503  i
 7.3487 -63.9237  7.3487  7.3487  i
 7.54709 -63.1964  7.54709  7.54709  i
 7.74549 -62.4596  7.74549  7.74549  i
 7.94389 -61.7152  7.94389  7.94389  i
 8.14228 -60.9643  8.14228  8.14228  i
 8.34068 -60.2081  8.34068  8.34068  i
 8.53908 -59.4473  8.53908  8.53908  i
 8.73747 -58.6821  8.73747  8.73747  i
 8.93587 -57.9126  8.93587  8.93587  i
 9.13427 -57.1385  9.13427  9.13427  i
 9.33267 -56.3595  9.33267  9.33267  i
 9.53106 -55.5748  9.53106  9.53106  i
 9.72946 -54.7836  9.72946  9.72946  i
 9.92786 -53.9851  9.92786  9.92786  i
 10.1263 -53.1781  10.1263  10.1263  i
 10.3246 -52.3616  10.3246  10.3246  i
 10.523 -51.5347  10.523  10.523  i
 10.7214 -50.6964  10.7214  10.7214  i
 10.9198 -49.8456  10.9198  10.9198  i
 11.1182 -48.9817  11.1182  11.1182  i
 11.3166 -48.104  11.3166  11.3166  i
 11.515 -47.2119  11.515  11.515  i
 11.7134 -46.3051  11.7134  11.7134  i
 11.9118 -45.3835  11.9118  11.9118  i
 12.1102 -44.4471  12.1102  12.1102  i
 12.3086 -43.4961  12.3086  12.3086  i
 12.507 -42.531  12.507  12.507  i
 12.7054 -41.5524  12.7054  12.7054  i
 12.9038 -40.5611  12.9038  12.9038  i
 13.1022 -39.5582  13.1022  13.1022  i
 13.3006 -38.5447  13.3006  13.3006  i
 13.499 -37.5222  13.499  13.499  i
 13.6974 -36.492  13.6974  13.6974  i
 13.8958 -35.4559  13.8958  13.8958  i
 14.0942 -34.4155  14.0942  14.0942  i
 14.2926 -33.3728  14.2926  14.2926  i
 14.491 -32.3297  14.491  14.491  i
 14.6894 -31.2882  14.6894  14.6894  i
 14.8878 -30.2504  14.8878  14.8878  i
 15.0862 -29.2184  15.0862  15.0862  i
 15.2846 -28.1944  15.2846  15.2846  i
 15.483 -27.1805  15.483  15.483  i
 15.6814 -26.1789  15.6814  15.6814  i
 15.8798 -25.1916  15.8798  15.8798  i
 16.0782 -24.2208  16.0782  16.0782  i
 16.2766 -23.2685  16.2766  16.2766  i
 16.4749 -22.3367  16.4749  16.4749  i
 16.6733 -21.4273  16.6733  16.6733  i
 16.8717 -20.5421  16.8717  16.8717  i
 17.0701 -19.6829  17.0701  17.0701  i
 17.2685 -18.8514  17.2685  17.2685  i
 17.4669 -18.0491  17.4669  17.4669  i
 17.6653 -17.2776  17.6653  17.6653  i
 17.8637 -16.5381  17.8637  17.8637  i
 18.0621 -15.8319  18.0621  18.0621  i
 18.2605 -15.1601  18.2605  18.2605  i
 18.4589 -14.5237  18.4589  18.4589  i
 18.6573 -13.9237  18.6573  18.6573  i
 18.8557 -13.3607  18.8557  18.8557  i
 19.0541 -12.8355  19.0541  19.0541  i
 19.2525 -12.3486  19.2525  19.2525  i
 19.4509 -11.9003  19.4509  19.4509  i
 19.6493 -11.4909  19.6493  19.6493  i
 19.8477 -11.1206  19.8477  19.8477  i
 20.0461 -10.7894  20.0461  20.0461  i
 20.2445 -10.4973  20.2445  20.2445  i
 20.4429 -10.244  20.4429  20.4429  i
 20.6413 -10.0293  20.6413  20.6413  i
 20.8397 -9.85279  20.8397  20.8397  i
 21.0381 -9.7139  21.0381  21.0381  i
 21.2365 -9.61204  21.2365  21.2365  i
